id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45006066,ABI03069,Intesa Sanpaolo S.p.A,80008750178,Provincia di Brescia,25121,BS,54.20,2026-03-07T00:00:00.000,os_verbali_pp
45006065,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,126.04,2026-03-07T00:00:00.000,Tassa Auto
45006064,CIPBITMM,Nexi,04114450168,ASST di Bergamo Ovest,24047,BG,25.00,2026-03-07T00:00:00.000,TICKET_SANITARIO
45006063,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,23.00,2026-03-07T00:00:00.000,Licenza di Pesca
45006062,WOLLNLB1,Worldpay BV,85001870188,Comune di Vigevano,27029,PV,65.60,2026-03-07T00:00:00.000,ts_verbali_cds
45006061,ABI03475,ING BANK N.V.,00186490181,Comune di Voghera,27058,PV,16.95,2026-03-07T00:00:00.000,in_violazione_cds
45006060,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,96.31,2026-03-07T00:00:00.000,Tassa Auto
45006059,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,260.29,2026-03-07T00:00:00.000,Tassa Auto
45006058,BCITITMM,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,134.85,2026-03-07T00:00:00.000,TICKET_SANITARIO
45006057,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,243.26,2026-03-07T00:00:00.000,Tassa Auto
45006056,SATYLUL1,Satispay,00828590158,Comune di San Donato Milanese,20097,MI,74.46,2026-03-07T00:00:00.000,REFEZ
45006055,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,189.17,2026-03-07T00:00:00.000,Tassa Auto
45006054,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,84.03,2026-03-07T00:00:00.000,Tassa Auto
45006053,ABI03069,Intesa Sanpaolo S.p.A,04114450168,ASST di Bergamo Ovest,24047,BG,10.00,2026-03-07T00:00:00.000,TICKET_SANITARIO
45006052,PPAYITR1XXX,Postepay,80005370137,Comune di Como,22100,CO,5.00,2026-03-07T00:00:00.000,bv_ztl
45006051,ABI03475,ING BANK N.V.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,11.53,2026-03-07T00:00:00.000,solleciti
45006048,CIPBITMM,Nexi,01629400191,ASST di Cremona,26100,CR,36.00,2026-03-07T00:00:00.000,TICKET_SANITARIO
45006047,ABI03069,Intesa Sanpaolo S.p.A,09319650967,ASST Ovest Milanese,20025,MI,25.00,2026-03-07T00:00:00.000,TICKET_SANITARIO
45006046,CIPBITMM,Nexi,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.27,2026-03-07T00:00:00.000,solleciti
45006045,BCITITMM,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,25.00,2026-03-07T00:00:00.000,TICKET_SANITARIO
45006019,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,80050050154,Regione Lombardia,20124,MI,204.79,2026-03-07T00:00:00.000,RL_BIL_PAGOPAPOST
45006018,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,59.27,2026-03-07T00:00:00.000,Tassa Auto
45006017,BCITITMM,Intesa Sanpaolo S.p.A,02613080189,ASST di Pavia,27100,PV,36.00,2026-03-07T00:00:00.000,TICKET_SANITARIO
45006016,SATYLUL1,Satispay,80050050154,Regione Lombardia,20124,MI,211.22,2026-03-07T00:00:00.000,Tassa Auto
45006015,ABI03069,Intesa Sanpaolo S.p.A,80005370137,Comune di Como,22100,CO,101.40,2026-03-07T00:00:00.000,meg_preavvisi_cds
45006014,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,297.34,2026-03-07T00:00:00.000,Tassa Auto
45006013,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,30.00,2026-03-07T00:00:00.000,Tassa Auto
45006012,ABI01030,Banca Monte dei Paschi di Siena,04114370168,ASST Papa Giovanni XXIII,24127,BG,25.00,2026-03-07T00:00:00.000,TICKET_SANITARIO
45006011,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,162.69,2026-03-07T00:00:00.000,Tassa Auto
45006010,ABI03069,Intesa Sanpaolo S.p.A,00629950130,Comune di Mandello del Lario,23826,LC,505.00,2026-03-07T00:00:00.000,sm_cu_os
45006009,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,291.54,2026-03-07T00:00:00.000,Tassa Auto
